"","agem","folio","nom_mun","lat_decimal","lon_decimal","altitud","region.tariff","tariff","summer"
"1",1001,214,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"2",1001,452,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"3",1001,212,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"4",1001,333,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"5",1001,208,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"6",1001,453,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"7",1001,332,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"8",1001,213,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"9",1001,330,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"10",1001,450,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"11",1001,572,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"12",1001,451,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"13",1001,207,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"14",1001,573,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"15",1001,570,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"16",1001,455,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"17",1001,454,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"18",1001,323,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"19",1001,326,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"20",1001,331,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"21",1001,211,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"22",1001,328,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"23",1001,329,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"24",1001,210,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"25",1001,83,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"26",1001,568,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"27",1001,346,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"28",1001,447,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"29",1001,449,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"30",1001,571,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"31",1001,125,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
"32",1001,467,"Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008,"Sur","1",0
