state.id,state,region,month,year,summer
1,Aguascalientes,Sur,1,2017,No
2,Baja California,Baja California,1,2017,No
3,Baja California Sur,Baja California Sur,1,2017,No
4,Campeche,Peninsular,1,2017,No
5,Coahuila,Noreste,1,2017,No
6,Colima,Sur,1,2017,No
7,Chiapas,Sur,1,2017,No
8,Chihuahua,Norte,1,2017,No
9,Mexico City,Central,1,2017,No
10,Durango,Norte,1,2017,No
11,Guanajuato,Sur,1,2017,No
12,Guerrero,Sur,1,2017,No
13,Hidalgo,Central,1,2017,No
14,Jalisco,Sur,1,2017,No
15,Mexico,Central,1,2017,No
16,Michoacan,Sur,1,2017,No
17,Morelos,Central,1,2017,No
18,Nayarit,Sur,1,2017,No
19,Nuevo Leon,Noreste,1,2017,No
20,Oaxaca,Sur,1,2017,No
21,Puebla,Central,1,2017,No
22,Queretaro,Sur,1,2017,No
23,Quintana Roo,Peninsular,1,2017,No
24,San Luis Potosi,Noreste,1,2017,No
25,Sinaloa,Noroeste,1,2017,No
26,Sonora,Noroeste,1,2017,No
27,Tabasco,Sur,1,2017,No
28,Tamaulipas,Noreste,1,2017,No
29,Tlaxcala,Central,1,2017,No
30,Veracruz,Sur,1,2017,No
31,Yucatan,Peninsular,1,2017,No
32,Zacatecas,Norte,1,2017,No
1,Aguascalientes,Sur,2,2017,No
2,Baja California,Baja California,2,2017,No
3,Baja California Sur,Baja California Sur,2,2017,No
4,Campeche,Peninsular,2,2017,No
5,Coahuila,Noreste,2,2017,No
6,Colima,Sur,2,2017,No
7,Chiapas,Sur,2,2017,No
8,Chihuahua,Norte,2,2017,No
9,Mexico City,Central,2,2017,No
10,Durango,Norte,2,2017,No
11,Guanajuato,Sur,2,2017,No
12,Guerrero,Sur,2,2017,No
13,Hidalgo,Central,2,2017,No
14,Jalisco,Sur,2,2017,No
15,Mexico,Central,2,2017,No
16,Michoacan,Sur,2,2017,No
17,Morelos,Central,2,2017,No
18,Nayarit,Sur,2,2017,No
19,Nuevo Leon,Noreste,2,2017,No
20,Oaxaca,Sur,2,2017,No
21,Puebla,Central,2,2017,No
22,Queretaro,Sur,2,2017,No
23,Quintana Roo,Peninsular,2,2017,No
24,San Luis Potosi,Noreste,2,2017,No
25,Sinaloa,Noroeste,2,2017,No
26,Sonora,Noroeste,2,2017,No
27,Tabasco,Sur,2,2017,No
28,Tamaulipas,Noreste,2,2017,No
29,Tlaxcala,Central,2,2017,No
30,Veracruz,Sur,2,2017,No
31,Yucatan,Peninsular,2,2017,No
32,Zacatecas,Norte,2,2017,No
1,Aguascalientes,Sur,3,2017,No
2,Baja California,Baja California,3,2017,No
3,Baja California Sur,Baja California Sur,3,2017,No
4,Campeche,Peninsular,3,2017,No
5,Coahuila,Noreste,3,2017,No
6,Colima,Sur,3,2017,No
7,Chiapas,Sur,3,2017,No
8,Chihuahua,Norte,3,2017,No
9,Mexico City,Central,3,2017,No
10,Durango,Norte,3,2017,No
11,Guanajuato,Sur,3,2017,No
12,Guerrero,Sur,3,2017,No
13,Hidalgo,Central,3,2017,No
14,Jalisco,Sur,3,2017,No
15,Mexico,Central,3,2017,No
16,Michoacan,Sur,3,2017,No
17,Morelos,Central,3,2017,No
18,Nayarit,Sur,3,2017,No
19,Nuevo Leon,Noreste,3,2017,No
20,Oaxaca,Sur,3,2017,No
21,Puebla,Central,3,2017,No
22,Queretaro,Sur,3,2017,No
23,Quintana Roo,Peninsular,3,2017,No
24,San Luis Potosi,Noreste,3,2017,No
25,Sinaloa,Noroeste,3,2017,No
26,Sonora,Noroeste,3,2017,No
27,Tabasco,Sur,3,2017,No
28,Tamaulipas,Noreste,3,2017,No
29,Tlaxcala,Central,3,2017,No
30,Veracruz,Sur,3,2017,No
31,Yucatan,Peninsular,3,2017,No
32,Zacatecas,Norte,3,2017,No
1,Aguascalientes,Sur,4,2017,Yes
2,Baja California,Baja California,4,2017,No
3,Baja California Sur,Baja California Sur,4,2017,Yes
4,Campeche,Peninsular,4,2017,Yes
5,Coahuila,Noreste,4,2017,Yes
6,Colima,Sur,4,2017,Yes
7,Chiapas,Sur,4,2017,Yes
8,Chihuahua,Norte,4,2017,No
9,Mexico City,Central,4,2017,Yes
10,Durango,Norte,4,2017,No
11,Guanajuato,Sur,4,2017,Yes
12,Guerrero,Sur,4,2017,Yes
13,Hidalgo,Central,4,2017,Yes
14,Jalisco,Sur,4,2017,Yes
15,Mexico,Central,4,2017,Yes
16,Michoacan,Sur,4,2017,Yes
17,Morelos,Central,4,2017,Yes
18,Nayarit,Sur,4,2017,Yes
19,Nuevo Leon,Noreste,4,2017,Yes
20,Oaxaca,Sur,4,2017,Yes
21,Puebla,Central,4,2017,Yes
22,Queretaro,Sur,4,2017,Yes
23,Quintana Roo,Peninsular,4,2017,Yes
24,San Luis Potosi,Noreste,4,2017,Yes
25,Sinaloa,Noroeste,4,2017,No
26,Sonora,Noroeste,4,2017,No
27,Tabasco,Sur,4,2017,Yes
