agem,state.id,nom_mun,lat_decimal,lon_decimal,altitud
01008,1,San José de Gracia,22.16127914,-102.5286372,2342.664063
01011,1,San Francisco de los Romo,22.03396365,-102.2553654,1914.149606
04005,4,Hecelchakán,20.14932691,-90.11666549,24.87142857
05006,5,Castaños,26.65871022,-101.3813034,897.0744681
05033,5,San Pedro,25.79447594,-103.0327685,1095.321154
06005,6,Cuauhtémoc,19.33049687,-103.6086579,978.8688525
07033,7,Francisco León,17.28302186,-93.2868029,607.34
07034,7,Frontera Comalapa,15.74021691,-92.07571687,654.6323024
07037,7,Huehuetán,15.03088076,-92.40310631,124.9130435
07048,7,Juárez,17.6940476,-93.18729073,45.83333333
07053,7,Mazapa de Madero,15.36420554,-92.18778498,1760.759259
07069,7,Pijijiapan,15.64611006,-93.20156431,66.74077047
07074,7,Reforma,17.86900626,-93.22501151,28.22857143
07079,7,San Fernando,16.90332783,-93.22242698,871.3589744
07081,7,Simojovel,17.14662233,-92.67173744,726.36
07084,7,Solosuchiapa,17.39420472,-93.01320812,367.5147059
07092,7,Tecpatán,17.16147401,-93.3836131,422.5689046
07096,7,Tila,17.35226856,-92.48247095,762.8734177
07102,7,Tuxtla Chico,14.92969,-92.18765,290.7222
07109,7,Yajalón,17.18562,-92.32741,1045.103
07115,7,Maravilla Tenejapa,16.20575,-91.2601,288.3714
08004,8,Aquiles Serdán,28.58538,-105.8822,1546.727
08010,8,Buenaventura,30.02448,-107.203,1482.017
08020,8,Chínipas,27.46967,-108.4972,1004.219
08023,8,Galeana,30.10186,-107.6318,1460.27
08031,8,Guerrero,28.43186,-107.4954,2122.398
08038,8,Julimes,28.48773,-105.24,1217.031
08041,8,Maguarichi,27.8187,-107.97,1995.084
08045,8,Meoqui,28.33676,-105.5233,1156.394
08051,8,Ocampo,28.15828,-108.2219,1905.925
08052,8,Ojinaga,29.31374,-104.4479,1105.203
08055,8,Rosales,28.29756,-105.5802,1184.036
08067,8,Valle de Zaragoza,27.49113,-105.8485,1426.69
10010,10,Hidalgo,26.02185,-104.8293,1835.07
10016,10,Nombre de Dios,23.83531,-104.1704,1822.879
10021,10,Peñón Blanco,24.75826,-104.0176,1777.94
10030,10,San Pedro del Gallo,25.59872,-104.3883,1769.4
11013,11,Doctor Mora,21.13878,-100.3606,2108.035
11032,11,San José Iturbide,21.03095,-100.412,2088.707
12023,12,Cuajinicuilapa,16.49333,-98.50453,31.78894
12033,12,Huamuxtitlán,17.78912,-98.55587,945.2692
12034,12,Huitzuco de los Figueroa,18.29007,-99.26034,1106.814
12036,12,Igualapa,16.75542,-98.48378,287.9444
12048,12,Petatlán,17.60709,-101.1705,441.0827
12056,12,Tecoanapa,16.97445,-99.2636,426.9718
12061,12,Tixtla de Guerrero,17.58061,-99.37915,1466.308
12064,12,Tlalchapa,18.42925,-100.4539,470.0244
12075,12,Eduardo Neri,17.77214,-99.60579,1193.855
12076,12,Acatepec,17.22364,-98.91516,1573.721
13002,13,Acaxochitlán,20.16436,-98.18743,2170.219
13008,13,Apan,19.73797,-98.43593,2540.212
13016,13,Cuautepec de Hinojosa,19.98217,-98.287,2477.398
13018,13,Chapulhuacán,21.14303,-98.93077,812.4414
13022,13,Epazoyucan,20.02735,-98.63851,2512.013
13029,13,Huichapan,20.3897,-99.65227,2174.908
13037,13,Metztitlán,20.56768,-98.79712,1533.727
13041,13,Mixquiahuala de Juárez,20.22159,-99.18326,2015.053
13047,13,Pacula,20.96871,-99.32225,1526.973
13056,13,Santiago Tulantepec de Lugo Guerrero,20.04185,-98.39134,2242.414
13062,13,Tepehuacán de Guerrero,21.06894,-98.84623,655.6566
13064,13,Tepetitlán,20.18335,-99.3888,2097.727
13070,13,Tlahuelilpan,20.13088,-99.22491,2073.167
14006,14,Ameca,20.53609,-104.0506,1313.134
14008,14,Arandas,20.76281,-102.3041,2044.788
14012,14,Atenguillo,20.37061,-104.5127,1471.528
14024,14,Cocula,20.38602,-103.8264,1353.387
14030,14,Chapala,20.33106,-103.1622,1575.311
14060,14,Mexticacán,21.26731,-102.7551,1771.718
14066,14,Poncitlán,20.35769,-102.9263,1564.415
14073,14,San Juan de los Lagos,21.26952,-102.2977,1824.247
14106,14,Tuxcacuesco,19.69627,-104.0104,875.4872
14115,14,Villa Guerrero,22.01038,-103.6618,1634.961
14125,14,San Ignacio Cerro Gordo,20.76058,-102.5108,2065.933
15001,15,Acambay de Ruíz Castañeda,19.97257,-99.88184,2664.802
15003,15,Aculco,20.11218,-99.82545,2483.114
15015,15,Atlautla,19.01684,-98.75922,2455.444
15038,15,Isidro Fabela,19.56312,-99.40857,2812.667
15048,15,Jocotitlán,19.70761,-99.80207,2634.365
15087,15,Temoaya,19.47121,-99.59845,2718.344
15101,15,Tianguistenco,19.16489,-99.44769,2692.368
15124,15,San José del Rincón,19.62588,-100.1313,2815.085
16004,16,Angamacutiro,20.13472,-101.7268,1725.125
16009,16,Ario,19.16474,-101.7065,1734.531
16014,16,Coahuayana,18.72972,-103.637,101.6161
16019,16,Cotija,19.74681,-102.7093,1739.789
16031,16,Epitacio Huerta,20.14462,-100.2851,2466.012
16033,16,Gabriel Zamora,19.17565,-102.0164,661.7885
16037,16,Huaniqueo,19.89429,-101.5124,2074.467
16045,16,Jiquilpan,19.98408,-102.7541,1847.926
16055,16,Múgica,18.9848,-102.1228,347.8358
16075,16,Los Reyes,19.65292,-102.4112,1848.262
16077,16,San Lucas,18.53449,-100.7486,353.1759
16079,16,Salvador Escalante,19.37313,-101.6954,2148.127
16080,16,Senguio,19.75267,-100.3394,2369.161
16088,16,Tarímbaro,19.79176,-101.1493,1888.906
16091,16,Tingüindín,19.78415,-102.5058,1737.125
16107,16,Zacapu,19.81278,-101.8031,2093.25
17013,17,Jonacatepec de Leandro Valle,18.66438,-98.80496,1286.65
17022,17,Tetela del Volcán,18.87902,-98.71186,2208.922
17030,17,Yecapixtla,18.86055,-98.87,1571.258
17033,17,Temoac,18.76078,-98.77892,1543.5
18016,18,Tecuala,22.36877,-105.5052,4.851852
19001,19,Abasolo,25.94798,-100.4054,515.7083
19032,19,Lampazos de Naranjo,27.0183,-100.4059,305.5204
20030,20,El Espinal,16.46769,-95.04188,23.61321
20042,20,Ixtlán de Juárez,17.42158,-96.37752,1526.25
20043,20,Heroica Ciudad de Juchitán de Zaragoza,16.44757,-94.98928,14.51648
20052,20,Magdalena Tequisistlán,16.40626,-95.61681,431.5909
20068,20,Ocotlán de Morelos,16.78164,-96.67435,1532.903
20083,20,San Agustín de las Juntas,17.00678,-96.70512,1557.286
20167,20,San José del Peñasco,16.29036,-96.49879,1731.5
20185,20,San Juan Cacahuatepec,16.61997,-98.16361,382.9545
20190,20,San Juan Cotzocón,17.43816,-95.32645,107.2164
20207,20,San Juan Mazatlán,17.20818,-95.30917,231.8333
20208,20,San Juan Mixtepec,17.31682,-97.86351,2127.841
20278,20,San Miguel Soyaltepec,18.25401,-96.39587,51.15385
20307,20,San Pedro Huamelula,15.98295,-95.74623,122.9167
20309,20,San Pedro Ixcatlán,18.15356,-96.53977,140.0435
20324,20,San Pedro Pochutla,15.78857,-96.43084,244.4641
20334,20,Villa de Tututepec,16.04733,-97.53619,81.79295
20398,20,Ayoquezco de Aldama,16.68518,-96.85942,1485.818
20421,20,Santa María Mixtequilla,16.39093,-95.27798,58.21429
20424,20,Santa María Ozolotepec,16.10056,-96.34818,2062.459
20447,20,Santa María Zacatepec,16.78226,-97.9925,465.4167
20466,20,Santiago Ixtayutla,16.55033,-97.6826,745.0882
20551,20,Tlacolula de Matamoros,16.95698,-96.4717,1614.591
20559,20,San Juan Bautista Valle Nacional,17.79434,-96.32357,344.2179
21004,21,Acatzingo,19.00924,-97.76782,2199.487
21008,21,Ahuazotepec,20.05442,-98.14431,2245.217
21016,21,Aquixtla,19.77984,-97.93534,2342.375
21034,21,Coronango,19.13133,-98.29141,2189.455
21069,21,Huaquechula,18.78069,-98.50112,1603.117
21087,21,Jolalpan,18.32696,-98.89778,1070.286
21090,21,Juan C. Bonilla,19.12114,-98.34092,2194.714
21104,21,Nopalucan,19.20092,-97.82393,2428.429
21106,21,Ocoyucan,18.95685,-98.31723,2090.273
21108,21,Oriental,19.34701,-97.58728,2355.905
21134,21,San Matías Tlalancaleca,19.33787,-98.51214,2412.432
21143,21,San Salvador el Verde,19.27294,-98.51071,2429.378
21144,21,San Salvador Huixcolotla,18.92281,-97.77293,2039.781
21150,21,Huehuetlán el Grande,18.74666,-98.15789,1449.294
21153,21,Tecali de Herrera,18.89135,-97.95965,2101.5
21179,21,Tlachichuca,19.13568,-97.40393,2672.066
21197,21,Xicotepec,20.31811,-97.90894,712.1651
21213,21,Zihuateutla,20.28786,-97.81921,663.8947
22008,22,Huimilpan,20.43301,-100.3266,2125.093
22009,22,Jalpan de Serra,21.2993,-99.39014,984.4239
22012,22,Pedro Escobedo,20.5009,-100.1572,1945.107
23010,23,Bacalar,18.88393,-88.46386,29.80163
24010,24,Ciudad del Maíz,22.43492,-99.66256,1179.041
24015,24,Charcas,23.19369,-101.1344,2103.804
24016,24,Ebano,22.21322,-98.47746,37.77778
24017,24,Guadalcázar,22.84646,-100.3475,1491.456
24027,24,San Ciro de Acosta,21.6001,-99.89162,1127.888
24044,24,Vanegas,24.02328,-100.9548,1793.988
24053,24,Axtla de Terrazas,21.43881,-98.87018,97.89286
24058,24,El Naranjo,22.47543,-99.34591,445.9051
25003,25,Badiraguato,25.64104,-107.3928,767.3596
25005,25,Cosalá,24.47624,-106.7846,337.9548
25007,25,Choix,26.63348,-108.2218,545.4749
25014,25,Rosario,23.01668,-105.8608,134.8206
26004,26,Altar,30.95473,-111.9128,550.4169
26008,26,Bacadéhuachi,29.85466,-109.0951,1023.269
26012,26,Bácum,27.51252,-110.1106,36.99688
26025,26,Empalme,28.01031,-110.6772,30.02857
26035,26,Imuris,30.823,-110.7946,992.5845
26037,26,Mazatán,28.9831,-110.1519,543.1395
26069,26,Yécora,28.40138,-108.9555,1330.14
27011,27,Jonuta,18.05358,-92.12215,1.71978
28005,28,Burgos,24.94874,-98.80406,177.6996
28015,28,Gustavo Díaz Ordaz,26.1607,-98.63936,53.21224
28017,28,Jaumave,23.45037,-99.40044,990.92
28020,28,Mainero,24.58178,-99.56617,440.9783
28029,28,Ocampo,22.83556,-99.28253,299.1478
29003,29,Atlangatepec,19.5474,-98.18061,2554.553
29019,29,Tepetitla de Lardizábal,19.28095,-98.38066,2223.429
29027,29,Tenancingo,19.14792,-98.1904,2281.667
29035,29,Tocatlán,19.3878,-98.01844,2525.5
29038,29,Tzompantepec,19.37839,-98.07893,2494
29045,29,Benito Juárez,19.58654,-98.42525,2525.857
29049,29,San Damián Texóloc,19.28218,-98.29713,2247.25
29060,29,Santa Isabel Xiloxoxtla,19.26806,-98.21356,2284
30014,30,Amatlán de los Reyes,18.85707,-96.88159,667.75
30022,30,Atzacan,18.93424,-97.07676,1372.444
30031,30,Carrillo Puerto,18.81337,-96.5825,206.5657
30038,30,Coatepec,19.45254,-96.94022,1207.372
30043,30,Comapa,19.13905,-96.71163,588.9324
30045,30,Cosamaloapan de Carpio,18.30171,-95.95975,9.396104
30048,30,Cosoleacaque,17.98775,-94.6107,17.07882
30051,30,Coyutla,20.33514,-97.65631,169.1905
30062,30,Chocamán,18.99786,-97.04344,1408.429
30066,30,Espinal,20.27015,-97.48672,92.125
30080,30,Ixhuatlán del Café,19.04189,-96.9271,1259.412
30109,30,Misantla,19.98221,-96.89251,259.0118
30112,30,Naolinco,19.63751,-96.85459,1230.728
30127,30,La Perla,18.97707,-97.16528,2307.396
30143,30,Santiago Tuxtla,18.42097,-95.37535,140.7119
30151,30,Tamiahua,21.28931,-97.50039,29.43537
30155,30,Tantoyuca,21.39313,-98.1844,106.0401
